id,latitude,longitude,track_id,time,distance_m,time_diff_s,speed_mps,speed_kmh,acceleration_mps2,acceleration_kmh2,bearing_deg,window_id
1,-10.9393413858164,-37.0627421097422,1,2014-09-13 07:24:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,-10.939341385769,-37.0627421097809,1,2014-09-13 07:24:37,6.754811939968128e-06,5.0,1.3509623879936254e-06,4.863464596777052e-06,2.701924775987251e-07,0.0035016945096794,321.28648291500593,0
3,-10.9393239478718,-37.0627645137212,1,2014-09-13 07:24:42,3.1212731406792087,5.0,0.6242546281358418,2.2473166612890303,0.1248506554346907,1618.0644944335922,308.405474794339,0
4,-10.9392105616561,-37.0628430455445,1,2014-09-13 07:24:47,15.246923313670118,5.0,3.0493846627340235,10.977784785842484,0.4850260069196364,6285.937049678488,325.78353508330866,1
5,-10.9389389789911,-37.0628785984113,1,2014-09-13 07:24:53,30.44703745583758,6.0,5.074506242639597,18.26822247350255,0.3375202633175955,4374.262612596039,352.67585566429835,1
6,-10.9385435911514,-37.0628386631358,1,2014-09-13 07:24:59,44.18077426837494,6.0,7.36346237806249,26.508464561024965,0.3814926892371488,4944.145252513449,5.663374187649879,1
7,-10.9383460576505,-37.0625875627021,1,2014-09-13 07:25:04,35.12785512511792,5.0,7.025571025023583,25.2920556900849,-0.0675782706077813,-875.8143870768456,51.29732837454259,2
8,-10.9384484455051,-37.0619998251528,1,2014-09-13 07:25:10,65.16827399339742,6.0,10.86137899889957,39.10096439603845,0.639301328979331,8285.34522357213,100.06135667030412,2
9,-10.9386660746204,-37.0614989339645,1,2014-09-13 07:25:15,59.799763312337696,5.0,11.95995266246754,43.05582958488314,0.219714732713594,2847.502935968179,113.87058409053265,2
10,-10.9389862284613,-37.0608192197261,1,2014-09-13 07:25:21,82.30477514212318,6.0,13.717462523687196,49.38286508527391,0.292918310203276,3796.2213002344574,115.62844549724724,3
11,-10.9393429131892,-37.0600866959415,1,2014-09-13 07:25:27,89.2675551359427,6.0,14.87792585599045,53.560533081565616,0.1934105553838755,2506.600797775028,116.37860065260816,3
12,-10.9396414360875,-37.0595030996298,1,2014-09-13 07:25:32,71.84215753574347,5.0,14.368431507148694,51.7263534257353,-0.1018988697683511,-1320.6093521978305,117.5191318611856,4
13,-10.9398579141531,-37.0591213205945,1,2014-09-13 07:25:38,48.13193933943558,6.0,8.02198988990593,28.879163603661347,-1.0577402695404607,-13708.31389324437,120.00731189223497,4
14,-10.9400772902018,-37.0587290032396,1,2014-09-13 07:25:43,49.29025893009611,5.0,9.85805178601922,35.4889864296692,0.3672123792226582,4759.07243472565,119.66286525521063,4
15,-10.9403891021306,-37.0582908757149,1,2014-09-13 07:25:49,59.07669188339444,6.0,9.846115313899071,35.44601513003666,-0.0019894120200246,-25.78277977951928,125.93712493001384,5
16,-10.9407463806047,-37.0579922269229,1,2014-09-13 07:25:54,51.39398972583059,5.0,10.27879794516612,37.00367260259803,0.0865365262534091,1121.513380244182,140.624083649539,5
17,-10.9411793936124,-37.0576397274353,1,2014-09-13 07:26:00,61.63851585436582,6.0,10.273085975727636,36.98310951261949,-0.0009519949064135,-12.337853987119589,141.3659080048626,5
